rank,seller_id,orders,reviewed_orders,mean_score,bad_reviews,canceled_orders,late_rate,revenue,bad_share,cancel_rate,bad_share_lower_bound,seller_state,seller_city
179,45ba18c210d42734ec52c0c1c574e9ee,38,38,3.868,8,1,0.0667,5589.13,0.2105,0.0263,0.1107,SP,sao roque
180,beadbee30901a7f61d031b6b686095ad,64,64,3.906,12,0,0.2344,4373.98,0.1875,0.0,0.1106,SP,guarulhos
181,7142540dd4c91e2237acb7e911c4eba2,319,317,4.028,46,0,0.0728,37373.56,0.1451,0.0,0.1106,SP,penapolis
182,6d66611d7c44cc30ce351abc49a68421,166,164,3.951,26,0,0.0549,13593.4,0.1585,0.0,0.1105,SP,sao paulo
183,3771c85bac139d2344864ede5d9341e3,26,26,3.846,6,0,0.1154,1433.3,0.2308,0.0,0.1104,SP,sorocaba
184,6a51fc556dab5f766ced6fbc860bc613,26,26,3.769,6,1,0.0833,7577.67,0.2308,0.0385,0.1104,SP,marilia
185,ed4acab38528488b65a9a9c603ff024a,32,32,3.719,7,0,0.0,12759.45,0.2188,0.0,0.1103,SP,sao paulo
186,ca3bd7cd9f149df75950150d010fe4a2,71,71,3.958,13,1,0.0149,9731.85,0.1831,0.0141,0.1102,SP,sao paulo
187,a3e9a2c700480d9bb01fba070ba80a0e,130,128,3.992,21,0,0.0945,13440.8,0.1641,0.0,0.1099,SP,ibitinga
188,16090f2ca825584b5a147ab24aa30c86,402,400,4.06,56,0,0.0816,25716.44,0.14,0.0,0.1094,SP,atibaia
189,e9d99831abad74458942f21e16f33f92,130,129,3.93,21,0,0.1008,4922.48,0.1628,0.0,0.109,SP,sao paulo
190,903037660cf848a717166eb7a06d616e,45,45,3.889,9,0,0.119,7991.51,0.2,0.0,0.109,SP,sao paulo
191,9674754b5a0cb32b638cec001178f799,86,86,4.047,15,2,0.0244,5069.92,0.1744,0.0233,0.1086,SP,sao paulo
